"","YEAR_CD","YM_CD","SD_NM","SIGUNGU_NM","DONG_CD","DONG_NM","MK_NUM","SMK_NUM","OP_MK_NUM","CLS_MK_NUM","FRC_MK_NUM","OP_RATE","CLS_RATE","DT","IN","OUT","PARKING"
"132",2021,202112,"서울","노원구",11350611,"하계1동",193,233,13,15,40,0.0673575129533679,0.077720207253886,17443,2725,3509,333
"133",2021,202112,"서울","노원구",11350619,"중계본동",556,843,34,33,287,0.0611510791366906,0.0593525179856115,12187,2535,3288,324
"134",2021,202112,"서울","노원구",11350624,"중계4동",591,748,25,31,157,0.0423011844331641,0.0524534686971235,11750,1793,2404,133
"135",2021,202112,"서울","노원구",11350625,"중계2.3동",309,469,19,21,160,0.0614886731391586,0.0679611650485437,38140,2980,4024,32
"136",2021,202112,"서울","노원구",11350630,"상계1동",981,1236,27,29,255,0.0275229357798165,0.0295616717635066,6810,3849,4459,754
"137",2021,202112,"서울","노원구",11350640,"상계2동",2666,3480,158,159,814,0.059264816204051,0.0596399099774944,33021,2575,2966,692
"138",2021,202112,"서울","노원구",11350665,"상계3.4동",280,303,4,7,23,0.0142857142857143,0.025,5202,2291,2875,603
"139",2021,202112,"서울","노원구",11350670,"상계5동",626,721,49,34,95,0.0782747603833866,0.0543130990415335,23839,2622,3096,394
"140",2021,202112,"서울","노원구",11350695,"상계6.7동",159,249,5,5,90,0.0314465408805031,0.0314465408805031,29526,3917,4781,160
"141",2021,202112,"서울","노원구",11350710,"상계9동",164,242,8,8,78,0.0487804878048781,0.0487804878048781,25344,2318,3000,221
"142",2021,202112,"서울","노원구",11350720,"상계10동",57,70,3,2,13,0.0526315789473684,0.0350877192982456,23414,3657,2556,27
"143",2021,202112,"서울","도봉구",11320511,"창1동",349,427,15,22,78,0.0429799426934097,0.0630372492836676,28213,2911,3427,396
"144",2021,202112,"서울","도봉구",11320512,"창2동",324,363,19,16,39,0.058641975308642,0.0493827160493827,27940,3403,3856,1050
"145",2021,202112,"서울","도봉구",11320513,"창3동",642,699,35,26,57,0.0545171339563863,0.0404984423676012,20781,1607,1925,809
"146",2021,202112,"서울","도봉구",11320514,"창4동",753,988,25,27,235,0.0332005312084993,0.0358565737051793,27982,2691,3389,103
"147",2021,202112,"서울","도봉구",11320515,"창5동",293,398,18,16,105,0.0614334470989761,0.0546075085324232,35299,2827,3321,450
"148",2021,202112,"서울","도봉구",11320521,"도봉1동",1144,1311,31,35,167,0.0270979020979021,0.0305944055944056,2432,2501,2777,1283
"149",2021,202112,"서울","도봉구",11320522,"도봉2동",328,350,10,14,22,0.0304878048780488,0.0426829268292683,32484,3248,3928,359
"150",2021,202112,"서울","도봉구",11320660,"쌍문1동",397,455,16,11,58,0.0403022670025189,0.0277078085642317,17466,2707,2967,881
"151",2021,202112,"서울","도봉구",11320670,"쌍문2동",452,569,32,29,117,0.0707964601769911,0.0641592920353982,34933,2372,2716,773
"152",2021,202112,"서울","도봉구",11320680,"쌍문3동",551,670,20,17,119,0.0362976406533575,0.0308529945553539,33536,2448,2462,823
"153",2021,202112,"서울","도봉구",11320681,"쌍문4동",32,34,2,0,2,0.0625,0,35852,1872,2374,165
"154",2021,202112,"서울","도봉구",11320690,"방학1동",1589,1853,79,74,264,0.0497168030207678,0.0465701699181875,41901,3728,3832,1199
"155",2021,202112,"서울","도봉구",11320700,"방학2동",626,700,30,27,74,0.0479233226837061,0.0431309904153355,26847,2251,2651,1282
"156",2021,202112,"서울","도봉구",11320710,"방학3동",69,106,4,4,37,0.0579710144927536,0.0579710144927536,10347,2329,3057,147
"157",2021,202112,"서울","동대문구",11230536,"용신동",2163,2481,57,77,318,0.0263522884882108,0.0355987055016181,20531,6633,5762,1409
"158",2021,202112,"서울","동대문구",11230545,"제기동",1950,2053,86,62,103,0.0441025641025641,0.0317948717948718,22523,3772,3800,968
"159",2021,202112,"서울","동대문구",11230560,"전농1동",1285,1626,67,60,341,0.0521400778210117,0.0466926070038911,24957,3720,4279,901
"160",2021,202112,"서울","동대문구",11230570,"전농2동",147,176,13,3,29,0.0884353741496599,0.0204081632653061,21949,1584,2056,232
"161",2021,202112,"서울","동대문구",11230600,"답십리1동",594,690,29,20,96,0.0488215488215488,0.0336700336700337,36263,4321,4275,463
"162",2021,202112,"서울","동대문구",11230610,"답십리2동",535,633,27,29,98,0.0504672897196262,0.0542056074766355,33641,3015,3736,449
"163",2021,202112,"서울","동대문구",11230650,"장안1동",1871,2151,91,80,280,0.048637092463923,0.0427578834847675,31035,5083,5251,1325
